Lotothis | The Obsidian Palace Guard | Obsidian Palace | The Dais | Sat Aug 26 20:28:04 2000
Pibb | The Archdevil Mephistopheles | Obsidian Palace | The Inferno | Wed Sep 13 10:47:55 2000
Mirkon | The Archdevil Mephistopheles | Obsidian Palace | The Inferno | Wed Sep 13 10:48:23 2000
Malrubius | The Archdevil Mephistopheles | Obsidian Palace | The Inferno | Wed Sep 13 10:48:50 2000
Ilzuknior | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Wed Sep 13 11:16:13 2000
Tael | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Wed Sep 13 11:17:09 2000
Kraich | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Wed Sep 13 11:17:45 2000
Mirkon | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Wed Sep 13 11:18:04 2000
Malrubius | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Wed Sep 13 11:18:43 2000
Tael | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Wed Sep 13 11:25:41 2000
Tael | The phantasmal killer | Obsidian Palace | A Nightmare | Wed Sep 13 11:26:19 2000
Mirkon | The phantasmal killer | Obsidian Palace | A Nightmare | Wed Sep 13 11:26:25 2000
Ilzuknior | The Devil Ishmael | Obsidian Palace | A Nightmare | Wed Sep 13 11:26:58 2000
Malrubius | The phantasmal killer | Obsidian Palace | A Nightmare | Wed Sep 13 11:27:13 2000
Kraich | The phantasmal killer | Obsidian Palace | A Nightmare | Wed Sep 13 11:27:25 2000
Tael | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Wed Sep 13 11:30:54 2000
Ganthies | The Obsidian Palace Guard | Obsidian Palace | Gates of the Obsidian Palace | Wed Sep 13 12:02:43 2000
Mirkon | The Archdevil Mephistopheles | Obsidian Palace | The Inferno | Wed Sep 13 12:25:09 2000
Kraich | The Archdevil Mephistopheles | Obsidian Palace | The Inferno | Wed Sep 13 12:26:29 2000
Tael | The Archdevil Mephistopheles | Obsidian Palace | The Inferno | Wed Sep 13 12:26:45 2000
Ilzuknior | The Archdevil Mephistopheles | Obsidian Palace | The Inferno | Wed Sep 13 12:27:06 2000
Ganthies | The Archdevil Baalzebub | Obsidian Palace | Eternal Darkness | Wed Sep 13 12:59:27 2000
Malrubius | The Archdevil Baalzebub | Obsidian Palace | Eternal Darkness | Wed Sep 13 13:00:00 2000
Drentar | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Thu Sep 14 15:34:36 2000
Drentar | The Crystal Dragon | Obsidian Palace | The Spiral Staircase | Thu Sep 14 15:35:51 2000
Politherin | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Thu Sep 14 18:59:44 2000
Politherin | The Obsidian Palace Guard | Obsidian Palace | Gates of the Obsidian Palace | Thu Sep 14 19:38:56 2000
Xorgo | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Fri Sep 15 04:18:08 2000
Ganderia | The Obsidian Palace Guard | Obsidian Palace | Before the Gates of the Obsidian Palace | Fri Sep 15 16:42:50 2000
Saccran | The Obsidian Palace Guard | Obsidian Palace | Gates of the Obsidian Palace | Fri Sep 15 20:59:25 2000
Salome | a troll captain | Crusader Battlefield | Bloody fields | Sat Sep 16 13:41:09 2000
Salome | a troll captain | Crusader Battlefield | Eastern Trail | Sat Sep 16 13:41:39 2000
Azheri | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Sat Sep 16 14:04:27 2000
Iola | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Sat Sep 16 14:04:30 2000
Iritandion | The Obsidian Palace Guard | Obsidian Palace | Gates of the Obsidian Palace | Sat Sep 16 14:06:21 2000
Iritandion | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Sat Sep 16 14:07:00 2000
Iritandion | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Sat Sep 16 14:07:21 2000
Iritandion | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Sat Sep 16 14:07:53 2000
Derick | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Sat Sep 16 19:18:53 2000
Xorgo | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Sun Sep 17 15:39:56 2000
Chanter | The Obsidian Palace Guard | Obsidian Palace | Gates of the Obsidian Palace | Sun Sep 17 19:54:14 2000
Azheri | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Sun Sep 17 20:02:02 2000
Khalin | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Sun Sep 17 20:06:28 2000
Mektlair | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Sun Sep 17 20:07:31 2000
Mektlair | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Sun Sep 17 20:08:39 2000
Chanter | the phantasmal killer | Obsidian Palace | A Nightmare | Sun Sep 17 20:09:19 2000
Mektlair | The Devil Ishmael | Obsidian Palace | A Nightmare | Sun Sep 17 20:09:22 2000
Durgoth | the phantasmal killer | Obsidian Palace | A Nightmare | Sun Sep 17 20:09:37 2000
Arkaine | the phantasmal killer | Obsidian Palace | A Nightmare | Sun Sep 17 20:09:52 2000
Sycho | The Devil Ishmael | Obsidian Palace | A Nightmare | Sun Sep 17 20:10:04 2000
Chanter | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Sun Sep 17 20:13:01 2000
Mektlair | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Sun Sep 17 20:13:10 2000
Durgoth | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Sun Sep 17 20:13:19 2000
Tantras | the phantasmal killer | Obsidian Palace | A Nightmare | Tue Sep 19 08:24:26 2000
Tumock | the phantasmal killer | Obsidian Palace | A Nightmare | Tue Sep 19 08:24:40 2000
Pibb | The Obsidian Prince | Obsidian Palace | The Crimson Pentagram | Tue Sep 19 09:13:16 2000
Rashashana | The Obsidian Prince | Obsidian Palace | The Crimson Pentagram | Tue Sep 19 09:13:16 2000
Iola | The Obsidian Prince | Obsidian Palace | The Crimson Pentagram | Tue Sep 19 09:13:16 2000
Malrubius | The Obsidian Prince | Obsidian Palace | The Crimson Pentagram | Tue Sep 19 09:13:16 2000
Mirkon | The Obsidian Prince | Obsidian Palace | The Crimson Pentagram | Tue Sep 19 09:13:16 2000
Grail | The Obsidian Palace Guard | Obsidian Palace | Before the Gates of the Obsidian Palace | Tue Sep 19 13:06:59 2000
Coasty | Sir Lothar | Crusader Battlefield | Bloody fields | Thu Sep 21 20:32:37 2000
Vardel | Raag | Crusader Battlefield | Bloody fields | Thu Sep 21 20:41:59 2000
Vardel | Sir Lothar | Crusader Battlefield | Bloody fields | Thu Sep 21 20:46:44 2000
Verand | an air elemental | Crusader Battlefield | Bloody fields | Thu Sep 21 20:56:05 2000
Kiltipzezum | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Fri Sep 22 12:58:21 2000
Kiltipzezum | The Obsidian Palace Guard | Obsidian Palace | The Throne Room | Fri Sep 22 13:33:44 2000
Adrien | a troll captain | Crusader Battlefield | Bloody fields | Sun Sep 24 02:12:52 2000
Durgoth | a goblin soldier | Crusader Battlefield | Bloody fields | Sun Sep 24 02:17:18 2000
Alycan | The Crystal Dragon | Obsidian Palace | The Throne | Sun Sep 24 12:44:36 2000
Alycia | the phantasmal killer | Obsidian Palace | A Nightmare | Sun Sep 24 13:57:53 2000
Durgoth | the phantasmal killer | Obsidian Palace | A Nightmare | Sun Sep 24 13:57:59 2000
Camdin | the phantasmal killer | Obsidian Palace | A Nightmare | Sun Sep 24 13:58:14 2000
Kenshin | the phantasmal killer | Obsidian Palace | A Nightmare | Sun Sep 24 13:58:18 2000
Kiltipzezum | the phantasmal killer | Obsidian Palace | A Nightmare | Sun Sep 24 13:58:30 2000
Sycho | The Devil Ishmael | Obsidian Palace | A Nightmare | Sun Sep 24 13:58:30 2000
Hauss | The Obsidian Palace Guard | Obsidian Palace | Gates of the Obsidian Palace | Sun Sep 24 15:04:58 2000
Gythin | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Sun Sep 24 15:52:37 2000
Gythin | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Sun Sep 24 15:54:05 2000
Gythin | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Sun Sep 24 15:54:31 2000
Gythin | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Sun Sep 24 15:54:55 2000
Gythin | The Obsidian Palace Guard | Obsidian Palace | Gates of the Obsidian Palace | Sun Sep 24 15:57:38 2000
Gorbash | the Obsidian Palace Guard | Obsidian Palace | Gates of the Obsidian Palace | Mon Sep 25 11:27:32 2000
Raleigh | the Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Mon Sep 25 18:26:32 2000
Narcys | the phantasmal killer | Obsidian Palace | A Nightmare | Mon Sep 25 18:32:21 2000
Kenshin | the Devil Ishmael | Obsidian Palace | A Nightmare | Mon Sep 25 18:34:30 2000
Tolant | the Devil Ishmael | Obsidian Palace | A Nightmare | Mon Sep 25 18:37:20 2000
Sycho | the phantasmal killer | Obsidian Palace | A Nightmare | Mon Sep 25 18:38:00 2000
Merandaa | the phantasmal killer | Obsidian Palace | A Nightmare | Mon Sep 25 18:38:06 2000
Avhorisham | the phantasmal killer | Obsidian Palace | Agamemnon's Lair | Mon Sep 25 18:38:37 2000
Rashashana | the phantasmal killer | Obsidian Palace | Agamemnon's Lair | Mon Sep 25 18:38:37 2000
Kiltipzezum | the phantasmal killer | Obsidian Palace | Agamemnon's Lair | Mon Sep 25 18:38:43 2000
Narcys | the phantasmal killer | Obsidian Palace | A Nightmare | Mon Sep 25 19:05:38 2000
Chichiri | the phantasmal killer | Obsidian Palace | Agamemnon's Lair | Mon Sep 25 19:10:11 2000
Tolant | the phantasmal killer | Obsidian Palace | Agamemnon's Lair | Mon Sep 25 19:10:24 2000
Sycho | the phantasmal killer | Obsidian Palace | Agamemnon's Lair | Mon Sep 25 19:10:36 2000
Avhorisham | the Devil Agamemnon | Obsidian Palace | Agamemnon's Lair | Mon Sep 25 19:10:36 2000
Tasha | the phantasmal killer | Obsidian Palace | Agamemnon's Lair | Mon Sep 25 19:11:00 2000
Merandaa | the phantasmal killer | Obsidian Palace | Agamemnon's Lair | Mon Sep 25 19:11:12 2000
Avhorisham | the Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Wed Sep 27 16:47:32 2000
Avhorisham | the phantasmal killer | Obsidian Palace | A Nightmare | Wed Sep 27 16:55:51 2000
Kiltipzezum | the Devil Ishmael | Obsidian Palace | A Nightmare | Wed Sep 27 16:56:37 2000
Alycia | the phantasmal killer | Obsidian Palace | A Nightmare | Wed Sep 27 16:56:52 2000
Alycia | the Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Wed Sep 27 17:00:28 2000
Avhorisham | the Crystal Dragon | Obsidian Palace | The Throne | Wed Sep 27 17:01:23 2000
Kiltipzezum | The Obsidian Palace Guard | Obsidian Palace | The Throne | Wed Sep 27 17:01:50 2000
Alycia | the Obsidian Palace Guard | Obsidian Palace | The Throne | Wed Sep 27 17:03:11 2000
Alycia | the phantasmal killer | Obsidian Palace | A Nightmare | Thu Sep 28 16:49:26 2000
Snyder | the Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Thu Sep 28 16:49:58 2000
Alycia | the Devil Ishmael | Obsidian Palace | A Nightmare | Thu Sep 28 16:51:17 2000
Alycia | the Devil Ishmael | Obsidian Palace | A Nightmare | Thu Sep 28 16:54:41 2000
Kiltipzezum | the Devil Ishmael | Obsidian Palace | A Nightmare | Thu Sep 28 16:54:53 2000
Sycho | the Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Thu Sep 28 16:54:59 2000
Drazan | the Obsidian Palace Guard | Obsidian Palace | Gates of the Obsidian Palace | Fri Sep 29 07:56:51 2000
Drazan | the Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Fri Sep 29 08:09:03 2000
Striker | the Crystal Dragon | Obsidian Palace | The Throne | Sat Sep 30 15:54:05 2000
Striker | the Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Sat Sep 30 15:59:10 2000
Greayun | the Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Sat Sep 30 17:27:42 2000
Poelja | a goblin soldier | Crusader Battlefield | Bloody fields | Mon Oct  2 02:35:23 2000
Moimiesm | the Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Tue Oct  3 12:28:53 2000
Beau | the phantasmal killer | Obsidian Palace | A Nightmare | Tue Oct  3 17:59:55 2000
Zangiff | the Devil Ishmael | Obsidian Palace | A Nightmare | Tue Oct  3 17:59:55 2000
Nirgal | the phantasmal killer | Obsidian Palace | A Nightmare | Tue Oct  3 17:59:58 2000
Nicole | the phantasmal killer | Obsidian Palace | A Nightmare | Tue Oct  3 18:00:02 2000
Greayun | the phantasmal killer | Obsidian Palace | A Nightmare | Tue Oct  3 18:00:32 2000
Antari | the phantasmal killer | Obsidian Palace | A Nightmare | Tue Oct  3 18:00:47 2000
Sadrien | the phantasmal killer | Obsidian Palace | A Nightmare | Tue Oct  3 18:00:47 2000
Quimtir | the phantasmal killer | Obsidian Palace | A Nightmare | Tue Oct  3 18:01:11 2000
Beau | the phantasmal killer | Obsidian Palace | A Nightmare | Tue Oct  3 18:38:38 2000
Elbrith | the Devil Ishmael | Obsidian Palace | A Nightmare | Tue Oct  3 18:40:46 2000
Zangiff | the Archdevil Mephistopheles | Obsidian Palace | The Inferno | Tue Oct  3 19:04:38 2000
Palison | the Archdevil Mephistopheles | Obsidian Palace | The Inferno | Tue Oct  3 19:05:09 2000
Nirgal | the Archdevil Mephistopheles | Obsidian Palace | The Inferno | Tue Oct  3 19:05:14 2000
Sadrien | the Archdevil Mephistopheles | Obsidian Palace | The Inferno | Tue Oct  3 19:05:46 2000
Greayun | the Archdevil Mephistopheles | Obsidian Palace | The Inferno | Tue Oct  3 19:05:52 2000
Jargoth | the Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Thu Oct  5 16:58:06 2000
Palison | the Archdevil Baalzebub | Obsidian Palace | Eternal Darkness | Mon Oct  9 15:13:44 2000
Sadrien | the Obsidian Prince | Obsidian Palace | A Long Corridor | Mon Oct  9 15:24:38 2000
Warvoran | the Obsidian Prince | Obsidian Palace | A Long Corridor | Mon Oct  9 15:25:24 2000
Nirgal | the Obsidian Prince | Obsidian Palace | A Long Corridor | Mon Oct  9 15:25:51 2000
Inarius | the Obsidian Prince | Obsidian Palace | A Long Corridor | Mon Oct  9 15:26:42 2000
Trabajad | the Obsidian Prince | Obsidian Palace | A Long Corridor | Mon Oct  9 15:28:00 2000
Gorbash | the Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Thu Oct 12 12:07:16 2000
Maelvishan | the Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Thu Oct 12 12:08:05 2000
Gorbash | the Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Thu Oct 12 12:08:08 2000
Phure | the Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Thu Oct 12 12:08:11 2000
Maelvishan | the Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Thu Oct 12 12:08:35 2000
Phure | the Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Thu Oct 12 12:08:59 2000
Gorbash | the Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Thu Oct 12 12:09:40 2000
Phure | the phantasmal killer | Obsidian Palace | A Nightmare | Thu Oct 12 12:14:24 2000
Gorbash | the Devil Ishmael | Obsidian Palace | A Nightmare | Thu Oct 12 12:14:24 2000
Maelvishan | the Devil Ishmael | Obsidian Palace | A Nightmare | Thu Oct 12 12:14:36 2000
Liur | The Obsidian Palace Guard | Obsidian Palace | Gates of the Obsidian Palace | Fri Oct 13 04:49:03 2000
Liur | the Crystal Dragon | Obsidian Palace | The Throne | Fri Oct 13 04:53:26 2000
Jasparten | The Obsidian Palace Guard | Obsidian Palace | Gates of the Obsidian Palace | Sun Oct 15 06:03:41 2000
Khaejdir | the Obsidian Palace Guard | Obsidian Palace | Gates of the Obsidian Palace | Sun Oct 15 06:03:56 2000
Faunus | the phantasmal killer | Obsidian Palace | A Nightmare | Sun Oct 15 14:20:08 2000
Battlekiller | the Devil Ishmael | Obsidian Palace | A Nightmare | Sun Oct 15 14:20:11 2000
Alojzy | the phantasmal killer | Obsidian Palace | A Nightmare | Sun Oct 15 14:20:21 2000
Swanson | the Devil Ishmael | Obsidian Palace | A Nightmare | Sun Oct 15 14:20:42 2000
Maelvishan | the phantasmal killer | Obsidian Palace | A Nightmare | Sun Oct 15 14:20:57 2000
Jaken | the Devil Ishmael | Obsidian Palace | A Nightmare | Sun Oct 15 14:21:00 2000
Magdeno | the phantasmal killer | Obsidian Palace | A Nightmare | Sun Oct 15 14:21:06 2000
Gorbash | the Devil Ishmael | Obsidian Palace | A Nightmare | Sun Oct 15 14:21:24 2000
Syrik | the Obsidian Palace Guard | Obsidian Palace | Gates of the Obsidian Palace | Thu Oct 19 20:14:39 2000
Snarf | the Obsidian Palace Guard | Obsidian Palace | Gates of the Obsidian Palace | Thu Oct 19 20:15:58 2000
Vartal | The Obsidian Palace Guard | Obsidian Palace | Gates of the Obsidian Palace | Thu Oct 19 20:16:55 2000
Thinhallen | Raag | Crusader Battlefield | Bloody fields | Tue Oct 24 14:45:55 2000
Talinso | the vampire, Shadar Lunn | Mausoleum | The workroom of Shadar Lunn | Sun May 20 03:41:42 2001
Talinso | the vampire, Shadar Lunn | Mausoleum | The workroom of Shadar Lunn | Sun May 20 03:44:00 2001
Talinso | the vampire, Shadar Lunn | Mausoleum | The workroom of Shadar Lunn | Sun May 20 03:57:31 2001
Abernyte | the vampire, Shadar Lunn | Mausoleum | The workroom of Shadar Lunn | Sun May 20 12:23:16 2001
Abernyte | the vampire, Shadar Lunn | Mausoleum | The workroom of Shadar Lunn | Sun May 20 12:52:14 2001
Derven | the great Dracolich | Mausoleum | The lair of the great Dracolich | Sun May 20 12:56:47 2001
Abernyte | the vampire, Shadar Lunn | Mausoleum | The workroom of Shadar Lunn | Sun May 20 13:25:33 2001
Sorebwyn | the vampire, Shadar Lunn | Mausoleum | The workroom of Shadar Lunn | Wed May 23 17:02:52 2001
Sorebwyn | the vampire, Shadar Lunn | Mausoleum | The workroom of Shadar Lunn | Wed May 23 17:05:40 2001
Draklin | the vampire, Shadar Lunn | Mausoleum | The workroom of Shadar Lunn | Wed May 23 17:05:49 2001
Garet | the vampire, Shadar Lunn | Mausoleum | The workroom of Shadar Lunn | Wed May 23 17:32:42 2001
Kundali | the vampire, Shadar Lunn | Mausoleum | The workroom of Shadar Lunn | Sat May 26 16:21:00 2001
Zarlak | a satanic familiar | The Blue Tower | On a balcony wreathed in blue fire | Sat May 26 16:27:47 2001
Talinso | a satanic familiar | The Blue Tower | On a balcony wreathed in blue fire | Sat May 26 16:45:22 2001
Kundali | a satanic familiar | The Blue Tower | On a balcony wreathed in blue fire | Sat May 26 21:43:59 2001
Kundali | the elven lich archmage | The Blue Tower | Before the burning blue stairwell | Sat May 26 21:57:27 2001
Caliphano | the vampire, Shadar Lunn | Mausoleum | The workroom of Shadar Lunn | Sun Jun  3 18:33:44 2001
Caliphano | the Juju zombie | Mausoleum | Lost in the graveyard fog | Mon Jun  4 15:16:08 2001
Shiakar | the vampire, Shadar Lunn | Mausoleum | The workroom of Shadar Lunn | Wed Jun  6 04:00:06 2001
Sakyen | the vampire, Shadar Lunn | Mausoleum | The workroom of Shadar Lunn | Fri Jun  8 17:39:32 2001
Sakyen | the Juju zombie | Mausoleum | A small room | Fri Jun  8 18:34:53 2001
Zoverax | the great Dracolich | Mausoleum | The lair of the great Dracolich | Tue Jun 12 00:47:38 2001
Dharash | the vampire, Shadar Lunn | Mausoleum | The workroom of Shadar Lunn | Sat Aug 18 22:48:17 2001
Wispen | the Spectral Dragon | The Elven Stronghold | The Elven Coffers | Mon Sep 24 19:28:07 2001
Wispen | the Spectral Dragon | The Elven Stronghold | The Elven Coffers | Mon Sep 24 19:57:17 2001
Azanulnar | the vampire, Shadar Lunn | Mausoleum | The workroom of Shadar Lunn | Wed Oct 10 02:54:21 2001
Finnius | a disgusting, rotting Zombie | Mausoleum | Eastern main area of the Mausoleum | Mon Nov  5 15:46:46 2001
Arghulea | the great Dracolich | Mausoleum | The lair of the great Dracolich | Mon Nov 26 22:14:46 2001
Cadamir | the great Dracolich | Mausoleum | The lair of the great Dracolich | Mon Nov 26 22:19:49 2001
Naedi | the Elven Lord | The Elven Stronghold | The Bed Chambers of the Elven Lord | Fri Nov 30 17:53:11 2001
Ereshkigal | a minotaur ambassador | The Elven Stronghold | A Guest Room | Mon Dec  3 10:42:25 2001
Xanos | a stronghold patrolman | The Elven Stronghold | A Guard Room | Mon Dec  3 18:38:55 2001
Blaz | a stronghold patrolman | The Elven Stronghold | A Large Apex | Wed Dec 12 00:28:24 2001
Mimble | a stronghold patrolman | The Elven Stronghold | A Large Apex | Mon Dec 17 21:15:04 2001
Jaldien | a minotaur ambassador | The Elven Stronghold | A Guest Room | Mon Dec 17 22:50:30 2001
Jaldien | a planar ambassador | The Elven Stronghold | A Guest Room | Tue Dec 18 18:10:21 2001
Jenobe | a minotaur ambassador | The Elven Stronghold | A Guest Room | Thu Dec 20 15:36:29 2001
Vadim | a stronghold patrolman | The Elven Stronghold | A Large Apex | Thu Dec 20 21:54:55 2001
Daslagar | an elven noble | The Elven Stronghold | The Upper Gallery | Fri Dec 21 22:25:10 2001
Mimble | a stronghold patrolman | The Elven Stronghold | A Guard Room | Sat Dec 22 11:32:43 2001
Aludra | a planar ambassador | The Elven Stronghold | A Guest Room | Sat Dec 22 20:46:45 2001
Mimble | an elven guardsman | The Elven Stronghold | The Guard Barracks | Tue Dec 25 16:21:05 2001
Vort | an elven guardsman | The Elven Stronghold | The Guard Barracks | Tue Dec 25 16:21:06 2001
Quinafin | an elven noble | The Elven Stronghold | The Upper Gallery | Wed Dec 26 15:43:31 2001
Aludra | a stronghold patrolman | The Elven Stronghold | An Ornate Hallway | Thu Dec 27 00:47:17 2001
Aludra | a celestial ambassador | The Elven Stronghold | A Guest Room | Thu Dec 27 00:50:14 2001
Aludra | a celestial ambassador | The Elven Stronghold | A Guest Room | Thu Dec 27 00:53:08 2001
Lothara | a planar ambassador | The Elven Stronghold | A Guest Room | Tue Jan  1 22:54:34 2002
Lothara | a planar ambassador | The Elven Stronghold | A Guest Room | Tue Jan  1 22:57:50 2002
Lothlorus | a planar ambassador | The Elven Stronghold | A Guest Room | Tue Jan  1 23:00:56 2002
Eldrinor | the Elven Lord | The Elven Stronghold | The Bed Chambers of the Elven Lord | Sat Jan  5 11:43:44 2002
Quinafin | an elven blacksmith | The Elven Stronghold | The Elven Forge | Sun Jan  6 16:06:18 2002
Eldrinor | an elven blacksmith | The Elven Stronghold | The Elven Forge | Mon Jan  7 19:59:30 2002
Lothara | a disgusting, rotting Zombie | Mausoleum | Central main area of the Mausoleum | Tue Jan  8 16:18:13 2002
Dunneur | a disgusting, rotting Zombie | Mausoleum | Central main area of the Mausoleum | Tue Jan  8 16:18:15 2002
Kravus | an elven man | The Elven Stronghold | The Grand Hall | Wed Jan  9 11:15:40 2002
Diego | a disgusting, rotting Zombie | Mausoleum | Northern main area of the Mausoleum | Sun Jan 13 23:52:47 2002
Diego | a disgusting, rotting Zombie | Mausoleum | The lair of the great Dracolich | Sun Jan 13 23:54:25 2002
Greigary | an elven noble | The Elven Stronghold | The Upper Gallery | Wed Jan 30 13:47:04 2002
Mortavi | a disgusting, rotting Zombie | Mausoleum | Central main area of the Mausoleum | Wed Jan 30 21:15:11 2002
Phares | a stronghold patrolman | The Elven Stronghold | A Large Apex | Fri Feb  1 00:49:22 2002
Phares | a stronghold patrolman | The Elven Stronghold | A Large Apex | Fri Feb  1 00:52:11 2002
Bracht | an elven noble | The Elven Stronghold | The Upper Gallery | Sun Feb  3 03:07:29 2002
Canaks | a stronghold patrolman | The Elven Stronghold | A Guard Room | Wed Feb 13 22:34:51 2002
Zigov | a disgusting, rotting Zombie | Mausoleum | Northwest main area of the Mausoleum | Sun Feb 17 23:33:55 2002
Quinafin | the great Dracolich | Mausoleum | The lair of the great Dracolich | Tue Feb 19 01:01:08 2002
Quinafin | the great Dracolich | Mausoleum | The lair of the great Dracolich | Tue Feb 19 01:12:47 2002
Xanceron | an elven noble | The Elven Stronghold | The Upper Gallery | Sun Feb 24 14:22:13 2002
Shango | an elven ranger | The Elven Stronghold | An Archer's Post | Mon Feb 25 23:28:38 2002
Shango | an elven ranger | The Elven Stronghold | An Archer's Post | Tue Feb 26 00:03:08 2002
Awyn | a stronghold patrolman | The Elven Stronghold | An Ornate Hallway | Sat Mar  2 12:12:42 2002
Kloshen | the demon familiar | Mausoleum | Roaming ground for the Demon | Fri Mar 15 17:36:25 2002
Kloshen | Kharzandra, the Dark-elf Vampire | Mausoleum | The workroom of Kharzandra | Fri Mar 15 18:19:49 2002
Kloshen | a disgusting, rotting Zombie | Mausoleum | Foyer of the mausoleum | Sat Mar 16 06:51:31 2002
Kloshen | a disgusting, rotting Zombie | Mausoleum | Lost in the graveyard fog | Sat Mar 16 07:13:02 2002
Bryndin | a planar ambassador | The Elven Stronghold | A Guest Room | Sun Mar 17 17:01:58 2002
Loisa | the Spectral Dragon | The Elven Stronghold | The Elven Coffers | Mon Mar 18 19:47:54 2002
Loisa | the Spectral Dragon | The Elven Stronghold | The Elven Coffers | Mon Mar 18 19:49:36 2002
Loisa | an elven spectre | The Elven Stronghold | Inside the Observatory | Mon Mar 18 20:05:37 2002
Bryndin | a planar ambassador | The Elven Stronghold | A Guest Room | Wed Mar 20 08:16:31 2002
Sierra | the Elven Lord | The Elven Stronghold | The Bed Chambers of the Elven Lord | Tue Apr  2 00:15:46 2002
Loisa | a minotaur ambassador | The Elven Stronghold | A Guest Room | Fri Apr 12 17:59:04 2002
Loisa | a halfling ambassador | The Elven Stronghold | An Arched Hallway | Fri Apr 12 18:01:37 2002
Adilaseth | a disgusting, rotting Zombie | Mausoleum | Northern main area of the Mausoleum | Sun Apr 14 01:15:27 2002
Anthraties | a planar ambassador | The Elven Stronghold | An Arched Hallway | Wed Apr 17 18:26:31 2002
Krosan | a planar ambassador | The Elven Stronghold | Before the Chambers of the Elven Lord | Wed Apr 17 18:38:38 2002
Loisa | a stronghold patrolman | The Elven Stronghold | The Entrance Hall | Fri Apr 19 22:18:19 2002
Loisa | an elven ambassador | The Elven Stronghold | A Hallway Outside of the Grand Hall | Fri Apr 19 22:21:04 2002
Loisa | an elven ambassador | The Elven Stronghold | An Ornate Hallway | Fri Apr 19 22:24:56 2002
Trewn | a stronghold patrolman | The Elven Stronghold | An Arched Hallway | Sat Apr 20 14:34:36 2002
Raadchek | an elven noble | The Elven Stronghold | The Upper Gallery | Sat Apr 20 21:57:04 2002
Linaer | a stronghold patrolman | The Elven Stronghold | An Arched Hallway | Sun Apr 21 09:11:37 2002
Tilrym | an elven ranger | The Elven Stronghold | An Archer's Post | Tue Apr 23 18:07:13 2002
Anthraties | a minotaur ambassador | The Elven Stronghold | A Guest Room | Sun Apr 28 02:44:40 2002
Drevos | the Elven Lord | The Elven Stronghold | The Bed Chambers of the Elven Lord | Sun Apr 28 21:10:21 2002
Marlim | a stronghold patrolman | The Elven Stronghold | A Guard Room | Wed May  1 21:54:47 2002
